,	，,，,、,、
gu	咕,辜,孤,姑,菇,固,古,估,沽,股,顧,蠱,鼓,故,雇,僱,牯,蛄,詁,鈷,瞽,錮,果,嘏,鴣,箛,盬,罟,賈,臌,呱,柧,蛌,軱,觚,罛,羖,堌,崮,痼,稒,酤,凸,菰
guen	券,眷,卷,捲,倦,捐,娟,鵑,圈,韏,獧,涓,狷,悁,睊,絹,鋗,鞙,埢,婘,惓,睠,蠲,帣,菤,絭,鄄,罥,鬳,嬽
guet	劂,橛
gui	具,俱,句,據,舉,居,巨,矩,攰,車,颶,懼,炬,岠,柜,秬,粔,蚷,距,詎,鉅,駏,倨,崌,据,椐,腒,琚,裾,踞,鋸,埧,椇,犋,寠,屨,瞿,齲,遽,虡,癐,枸,窶,踽,捄,澽,醵,躆,鐻,鶋,櫸,偊,萭,筥,莒,苣,蒟
guk	谷,唂,菊,榖,局,侷,挶,焗,梮,跼,鋦,告,鵠,輂,匊,掬,椈,踘,鞠,麴,榖,鋊,轂,穀,瀔,濲,鞫,唃,牿,嚳,梏,蘜,軗
gung	工,公,共,供,功,攻,恭,龔,宮,弓,躬,貢,嗊,鞏,拱,栱,珙,輁,廾,魟,贛,芎,蚣,拲,蛬,塨,紅
gur	鋸
gwa	卦,啩,掛,褂,瓜,呱,寡,挂,絓,詿,栝,剮,罣
gwaa	瓜,呱,卦,掛,褂,寡,挂,絓,詿,栝,剮,罣
gwaai	乖,怪,拐,柺,蒯,枴,夬,罫
gwaak	摑
gwaan	慣,關,矜,鰥,摜,瘝,擐,丱,綸,鱞
gwaang	逛,梗,俇
gwaat	颳,劀,刮,捖
gwah	卦,掛,呱
gwai	鬼,貴,季,歸,櫃,跪,詭,軌,簋,圭,龜,閨,溈,桂,瑰,晷,匱,傀,悸,蕢,簣,厬,鱖,餽,騩,嶡,劌,蹶,邽,氿,朹,庋,刲,宄,佹,垝,姽,癸,庪,珪,硅,銈,鮭,鯚,皈,媯,闠,匭,撌,樻,瞶,鐀,饋,痵,溎,廆
gwan	君,軍,均,筠,鈞,郡,棍,滾,慣,昆,掍,焜,琨,崑,緄,輥,錕,鯤,皸,關,裷,龜,鯀,褌,蔉,莙,麇,鮶,晜,袀,珺,鶤,睔,袞
gwang	轟,𡆀,薨,肱,觥,訇,渹,揈,輷,鍧
gwat	骨,嗗,倔,掘,堀,𥇣,刮,颳,橘,滑,撅,劀,憰,蓇,愲,榾,縎,淈,崛,镼,扢,汩,鶻,鶌,尳
gwei	溈
gwik	隙,洫,鴃,聝,虢,覤,虩,鼳,侐,狊,闃,馘,殈,鶪,淢,郤,綌,湨,郹
gwing	迥,炯,熲,囧,坰,駉,冏,褧,顈,扃,炅,泂,絅,煚,詗
gwoh	果,菓,過,粿,猓,戈,裹,蜾,錁,輠,薖,簻,惈,渦
gwok	國,郭,霩,幗,廓,漷,墎,槨,嘓,膕,蟈,簂,崞
gwong	光,廣,擴,獷,礦,洸,桄,胱,銧,誑
gwor	果,粿,裹,過,戈,猓,蜾,錁,輠,薖,簻,惈,渦
#
ha	下,吓,夏,廈,霞,哈,蝦,虾,嘿,遐,瑕,煆,暇,赮,騢,颬,閜,瘕,蛤,岈,芐,蕸
haai	孩,鞋,嚡,諧,械,嗨,懈,邂,蟹,揩,駭,骸,骱,解,澥,獬,嶰,檞,繲,廨,叡,薤,韰,駴,瀣,齘,觟,龤,嗐,咳
haak	客,嚇,黑,刻,克,剋,赫,喀,諕
haam	喊,咸,鹹,銜,函,涵,餡,陷,啣,撖,檻,諴,豏,壏,嵌,麙,闞,嗛,菡,鬫
haan	限,閒,慳,閑,嫻,僩,憪,撊,癇,鷴,鷳,掔,嫺
haang	行,吭,坑,阬,夯,桁
haap	洽,挾,俠,盒,篋,頰,呷,狎,柙,陜,狹,硤,峽,祫,掐,嗑,匣
haau	孝,考,校,效,巧,姣,敲,吼,哮,拷,烤,栲,酵,髐,嘐,傚,鄗,毃,墝,磽,嗃,熇,礉,攷,尻,恔,洨,骹,薧,虓,猇,烋,痚
hai	係,喺,系,兮,𠯋,繫,懈,孩,蹊,禊,郋,螇,檕,盻,奚,傒,徯,謑,貕,騱,鼷,嵇,閪
hak	黑,刻,克,剋,赫,氪
ham	憾,陷,坎,撼,砍,堪,磡,含,唅,龕,冚,埳,銜,戡,歙,蚶,啣,蜭,勘,墈,谽,頷,瞰,凵,噷,扻,憨,龕,顄,顉,邯,顑,嵌,酣,闞,琀,轗,焓,矙,嵁,崁,莰,欿,坩
han	很,閒,嫻,恨,狠,痕,墾,懇,齦,豤,佷,拫,絎
hang	幸,肯,行,恆,衡,亨,哼,㧸,啃,杏,倖,啈,涬,悻,婞,珩,莖,阬,誙,鏗,莕,夯,錹,桁,胻,姮,荇,牼,蘅,脝,硜
hap	合,盒,俠,郃,蓋,閤,洽,恰,頜,盍,嗑,溘,搕,榼,瞌,磕,鉿,闔,帢,烚,峽,欱
hat	乞,吃,核,瞎,翮,迄,黠,麧,覡,檄,轄,劾,礉,忔,籺,紇,齕,閡,覈,舝,搳
hau	口,後,后,逅,厚,侯,候,喉,猴,吼,巧,校,篌,嘐,傚,銗,酵,鱟,翭,瘊,郈,呴,垕,茩,堠,鍭,餱,鯸,齁,鄇
hei	希,起,喜,囍,器,氣,汽,棄,戲,豈,唏,稀,欺,熙,嬉,禧,憩,犧,熹,僖,嘻,嘿,嗨,俙,浠,悕,狶,烯,晞,睎,豨,爔,曦,羲,釐,甈,誒,蹊,榿,僛,蟢,譆,諆,倛,屺,屎,芑,气,呬,齂,黖,咥,餼,魌,醯,塈,屭,巇,娸,羛,欷,愒,媐
hek	吃,喫
heng	輕
heuh	噓,靴
heung	香,享,向,响,晌,餉,鄉,嚮,響,饗,曏,膷,薌,饟,蠁
him	欠,謙,險,玁,獫,嶮,忺,芡,歉,傔,慊,嗛,鼸
hin	顯,牽,掀,軒,衍,獻,譴,遣,憲,愆,蜆,縴,騫,鶱,祆,嘕,岍,汧,褰,幵,蹇,祅,俔,謇,杴,幰,繾,攐,攓,韅,搴
hing	兄,輕,興,慶,馨,罄,氫,卿,敻,綮,謦,脛,鑋,磬,矎,詗
hip	協,歉,脅,怯,挾,拹,劦,勰,厒,愜,嗛,嗋,慊
hit	歇,挈,猲,蝎,蠍
hiu	囂,竅,嘵,曉,撬,澆,橇,僥,驍,梟,歊,獢,獟,鄡,蹺,藃,繑,呺,膮,鴞,枵,趬,蹻,虈
hm	噷
ho	好,號,豪,毫,浩,何,河,秏,耗,皓,顥,鄗,壕,蠔,灝,皜,皞,澔,鎬,濠,嚎,嗥,藃,呺,嚆,昦,薃,薧,薅,茠,滈,犒,鰝,髇,淏,昊,蒿
hoh	可,何,河,賀,荷,呵,坷,蚵,鈳,哿,訶,岢,舸,菏,苛,閜
hoi	凱,開,害,海,嗨,亥,氦,愷,塏,磑,鎧,剴,颽,孩,駭,闓,骸,肯,頦,咍,醢,咳,豈
hok	學,殼,鶴,熇,貉,翯,嶨,謞,澩,矐,鷽,觷,嗃,嗀
hon	看,漢,翰,韓,寒,汗,刊,罕,鼾,旱,駻,悍,釬,銲,焊,捍,撖,馯,暵,鳱,熯,瀚,蔊,衎,虷,螒,扞,犴,厂,旰,邗,邯,侃,鶾,豻,閈,榦,涆,頇,睅,甝
hong	行,項,康,慷,航,降,腔,匡,烘,巷,香,吭,筐,眶,炕,杭,誆,糠,漮,頏,骯,矼,肮,恇,俇,迒,洭,劻,框,蚢,鏮,酐,笐,椌,衖,絎,缿,沆
hor	可,何,河,荷,賀,呵,坷,蚵,閜,哿,訶,岢,舸,菏,苛
hot	渴,喝,暍,曷,褐,蝎,鞨,鶡,嵑,猲,毼,害
huen	犬,圈,勸,萱,喧,甽,壎,敻,儇,綣,券,懁,渲,暄,愃,楦,諠,畎,禤,鋗,嬛,駽,弮,昍,咺,晅,烜,絢,翾,眴,蠉,矎,萲,棬,煖,楥,諼,塤,虇
huet	血,吷,狘,瞲,泬
hui	去,許,虛,墟,噓,栩,詡,咻,驉,魖,冔,佢,歔,圩,吁,旴,盱,訏,鄦,欨,姁,呴,昫,咺,鼁,煦,喣
huk	酷,哭,鵠,熇,嘝,槲,縠,觳,瀫,斛,嗀
hum	陷,冚
hun	硿
hung	空,控,紅,虹,洪,恐,雄,熊,胸,鴻,兇,哄,孔,凶,匈,哅,洶,恟,鬨,汞,穹,黌,篊,箜,谼,澒,吽,芎,忷,仜,灴,訌,魟,蕻,鞚,烘,倥,涳,悾,崆,嗊,葒
hur	靴
#
ip	葉
#
ja	乍,咋,炸,詐,搾,渣,揸,喳,𠾵,楂,柞,榨,咱,吒,偺,樝,糌,蜡,皻,抓,醡,髽,鮓,齰,痄,喒,煠,齇
jaai	債,齋,寨,祭,責,豸,瘵,眥,砦,廌
jaak	責,窄,擇,摘,擲,宅,嘖,睪,澤,檡,襗,蠌,躑,駅,岝,笮,蚱,磔,謫,翟,迮,賾,蹢,乇,柞,矺,簀,齰,烢,唶,舴
jaam	站,暫,斬,嶄,湛,簪,眨,糌,鏨,蘸,蹔,鐕,偡,寁,黵,詀
jaan	讚,贊,賺,撰,譔,盞,棧,驏,僎,瓚,醆,篹,輚,酇,昝,攢,儹,灒,囋,綻,饌,轏,琖,饡,揝,趲,攥
jaang	爭,箏,琤,猙,掙,棦,崢,睜,諍,錚
jaap	集,㗱,習,雜,閘,襲,砸,匝,鰼,褶,嶍,槢,劄,咂,隰,雥,摺,飁,唼,眨
jaat	紮,扎,札,蚻,軋,哳,挓,鍘,拶
jaau	找,爪,抓,罩,嘲,驟,肘,帚,掉,棹,櫂,啁,鵫,笊
jah	乍,咋,炸,詐,搾,榨,砟,渣,𠾵,楂,咱,吒,偺,撾,樝,碴,蜡,觰,查,苲,皻,厏,奓,挓,醡,髽,柤,檛,蚱,鮓,痄,喒,溠,煠,齇
jai	仔,制,𠶜,製,掣,際,祭,濟,滯,劑,擠,躋,囝,漈,霽,踅,瘈,穄,嚌,隮,櫅,鮆,泲,虀,蹛,齌,狾,穧,齊,晢,齏,崽,猘,剬,齎,麡
jak	則,側,鰂,鯽,仄,庂,昃,崱,萴
jam	怎,枕,浸,沉,箴,針,斟,碪,嶜,噆,鍼,栚,朕,眹,酖,偡,揕,椹,鍖,譖,鰔,葴,瑊,祲,鱵,寖,歁,砧
jan	真,眞,珍,陣,震,賑,振,圳,陳,瑱,禛,縝,稹,鎮,薽,胗,診,袗,黰,侲,抮,疹,眹,甄,畛,儹,鬒,紾,眕,紖,囋,裖,軫,嗔,娠
jang	曾,憎,增,鬙,僧,猙,爭,掙,繒,綪,噌,贈,睜,橧,矰,磳,罾,甑,箏,崝,錚,琤,崢
jap	汁,執,馽,慹,俋,縶,霫,偛
jat	疾,侄,姪,質,窒,銍,蒺,膣,郅,厔,蛭,庢,蟄,螲,挃,揤,桎,礩,秷,騭,鑕,櫍,嫉,甴
jau	就,走,酒,周,週,州,洲,舟,奏,皺,晝,咒,袖,宙,鷲,縐,揍,冑,胄,岫,鄒,啾,揪,帚,甃,籀,僦,僽,驟,緅,鄹,輈,啁,賙,褎,諏,郰,侜,噣,輖,怞,謅,洀,鵃,咮,鮦,繇,盩,酎,紂,肘,騶,齱,鯫,鯞,譸,黀,娵,掫,婤,喌,睭,棷,棸,湫,菆,齺,媰,揫,陬
jeh	這,者,啫,借,謝,姐,藉,遮,蔗,䉀,姊,赭,鷓,鍺,蟅,柘,罝,嗟,榭,唶
jek	隻,唧,蓆,脊,跡,炙,膌,績,擿,摭,只,跖,拓
jeng	井,鄭,凈,淨,正,精,爭,汫
jeuk	著,爵,嚼,雀,鵲,灼,芍,禚,繳,勺,汋,斫,卓,桌,棹,櫡,皭,爝,妁,碏,酌,斮,焯
jeung	將,長,張,章,獎,掌,象,像,賬,仗,丈,匠,瘴,悵,蔣,樟,槳,醬,漲,橡,漿,璋,幛,彰,蟑,墇,嶂,粻,慞,鄣,嫜,嫥,帳,膙,襐,蟓,脹,仉,螿,獐,漳,杖,障,傽
ji	之,支,知,資,只,子,止,自,字,至,址,祇,紙,梓,滓,置,志,誌,致,智,姿,摯,緻,芷,指,趾,姊,紫,寺,旨,芝,枝,滋,諮,咨,肢,蜘,治,稚,飼,痔,袛,砥,茲,脂,咫,孜,恣,梔,質,徵,輜,食,雉,耜,淄,泜,鷙,兕,嗣,酯,趑,鄑,躓,訾,踅,銍,祀,觜,榰,錙,髭,齜,訿,識,疐,祉,剚,胏,倳,贄,耔,胑,阯,芓,豸,坁,鳷,扺,厎,沚,忮,阤,鋕,孳,卮,痣,貲,鼒,庤,懥,恉,駤,呰,鎡,懫,鮨,枳,呲,甾,泲,疧,秖,仔,衹,胝,漬,茈,氏,籽,牸,涘,偫,齊,礩,笫,眥,騺,傂,偨,伺,茞,疻,鯔,笥,秭,觶,彘,齍,嵫,緇,畤,俟,吱,絼,輊,滍,菑,軹,黹,粢,胾,胔,椥,覗,巳,玆,廌,搘,寘
jik	直,即,積,績,唧,值,植,夕,寂,職,漬,籍,席,,稷,瘠,槭,嘖,矽,炙,汐,脊,織,耤,幘,藉,漃,鯽,蹟,踖,蟙,蹠,樴,膱,褯,蘵,穸,蹐,蟄,磧,跡,堲,勣,楖,埴,鶺,騭,陟,癪,癠,蝍,殖,稙,湜,犆,躤,蓆,鰿
jim	尖,占,佔,漸,僭,瞻,詹,譫,沾,粘,颭,霑,臢,僣,熸,幨,怗,螹,薝,瀸,襜,魙,惉,覘,燄,蛅
jin	剪,展,箭,薦,戰,煎,墊,賤,踐,餞,翦,氈,顫,緘,碾,灛,羶,闡,嘽,湔,韉,纏,輾,戩,濺,諓,皽,蕆,戔,蹍,牮,邅,膻,洊,栫,旃,栴,荐,箋,鬋,劗,帴,鱣,鸇,饘,籛,葥,錢,牋,揃,譾,搌
jing	正,証,凈,淨,靜,整,證,政,症,精,征,蒸,貞,晶,井,偵,菁,徵,靖,剩,阱,遉,怔,鉦,癥,箐,凊,旍,眐,烝,婧,鼱,禎,鶄,蘡,竫,睛,旌,湞,幀,楨
jip	接,摺,輒,楫,懾,慴,囁,慹,霅,浹,鮿,讋,喢,椄,讘
jit	節,擳,㘉,唧,捷,折,喆,截,蜇,輒,箑,踕,倢,瀄,櫛,癤,岊,扻,蟄,疌,晢,哲,婕,淛,悊,睫,硩,浙,楶
jiu	照,趙,𡁻,朝,招,焦,召,蕉,椒,詔,炤,醮,礁,沼,剿,勦,摷,樔,劋,僬,嫶,嚼,蟭,曌,燋,膲,昭,鐎,灂,釂,鷦,趭,皭,湫
jo	早,做,糟,遭,租,組,造,祖,皂,棗,灶,澡,藻,祚,靻,慒,慥,瑵,蚤,胙,蹧,駔,皁,麆,簉,璪,阼,繰,葄,傮
joh	左,咗,阻,佐,助,座,詛,莝,俎
joi	在,再,載,宰,災,栽,縡,甾,崽,菑,渽,哉,酨
jok	作,昨,鑿,砟,鷟,擢,濯,柞,怍,莋,灂,浞,筰,酢
jong	裝,莊,撞,藏,葬,壯,妝,樁,粧,狀,臟,髒,贓,獞,駔,庄,臧,奘,牂,戇,幢
jor	坐,座,左,佐,咗,助,阻,唑,侳,柤,詛,俎
jue	主,住,朱,珠,注,註,著,諸,豬,株,蛛,煮,硃,渚,駐,蛀,鉒,趎,鑄,翥,藷,馵,枓,邾,麈,壴,炷,櫡,姝,殶,瀦,洙,罜,拄,砫,疰,紸,箸,藸,陼,櫧,櫫,跦,侏,茱,袾,誅
juen	專,轉,傳,尊,磚,鱄,撙,雋,纂,噂,鉆,鑽,顓,鄟,嫥,僔,鐫,囀,塼,耑,膞,遵,篿,縳,捘,劗,鐏,鱒,纘,躦
juet	卒,絕,茁,綴,輟,絀,拙,裰,啜,嘬,黜,剟,醊,錣,蕝,餟,梲,惙,掇,窋,歠,罬,畷,琡,腏,棳,敪
jui	最,醉,嘴,咀,序,罪,敘,聚,追,砠,蕞,箠,墜,蛆,隹,狙,錐,嶼,漵,膇,觜,硾,雎,甀,贅,齟,沮,嗺,且,藇,苴,諈,縋,岨,怚,餟,堆,懟,檇,疽,惴,騅,魋,椎,朘,鵻,偳,綴,娵,葅,晬,鱮,菹,趄,跙,棰
juk	足,捉,祝,觸,俗,逐,續,築,竹,粥,族,燭,囑,矚,鱁,筑,嗾,躅,竺,触,鏃,鐲,瀆,屬,濁,軸,柚,蓫,哫,臅,柷,妯,蠋,鸀,斸,藚,欘,浞,喌,舳,瘃,鬻
jun	盡,儘,進,准,準,俊,樽,遵,津,竣,縉,諄,雋,臻,純,駿,蓁,濬,綧,墫,肫,鐫,燼,浚,藎,寯,樼,鋑,晉,賮,餕,璡,忳,轃,臇,迍,濜,窀,峻,捘,鵔,埻,朘,榛,鐏,隼,焌,贐,鰆,葰,獉,溱,畯,屯,搢,楱
jung	中,仲,鍾,鐘,終,眾,重,種,總,忠,宗,綜,縱,頌,訟,腫,舂,淙,潀,棕,摠,踵,翪,熜,稯,鬃,蹤,憃,蔠,豵,倧,伀,妐,彸,瘲,傯,穜,螽,种,衷,鼨,忪,盅,騣,嵕,鬷,粽,糭,翀,尰,舯,從,惾,誦
jut	卒,崒,捽,怵,黜,踤,倅,揤,訹,詘
#
ka	卡,哈,咖,喀,鉲,擖,佧,髂
kaai	楷,階,鍇,梂
kaak	緙
kaat	咭,卡
kaau	靠,銬
kai	啟,啓,楷,契,溪,稽,谿,瘛,磎,瘈,綮,栔,鸂,嵇,愒,棨
kam	琴,擒,禁,噤,噙,襟,靲,坅,妗,芩,檎,衿,衾,禽
kan	勤,近,芹,斳,慬,懃,廑
kang	啃,掯,骾,裉
kap	給,及,級,吸,笈,圾,歙,岌,潝,搿,扱,极,伋,鈒,汲
kat	咳,咭,戛,恝,欬
kau	購,求,球,扣,溝,媾,構,舅,寇,臼,毬,仇,釦,逑,彄,摳,璆,觩,滱,賕,蔻,訄,冓,犰,裘,耩,朹,銶,艽,厹,佝,鼽,芤,怐,虯,簆,俅,构,叩,鷇,釚,傋,絿,蛷,梂,筘,赳,巰
ke	騎,瘸
kei	其,期,企,淇,琪,奇,崎,琦,畸,旗,麒,岐,歧,耆,鰭,圻,跂,伽,冀,瘸,祁,頎,錡,驥,枝,騎,隑,鬿,綦,蜞,觭,踑,蟣,亟,祇,祈,亓,肵,鮨,疧,棋,騏,旂,暨,蘄,塈,蚑,埼,鬐,陭,鯕,騹,計,祺,俟,碕,萁,碁,攲,臮,欹,茄
kek	劇,屐
keuk	噱,臄,卻,醵
keung	強,彊,嵹,繈,襁,鏹,弶,羥
kim	鉗,拑,箝,黔,仱,岒,黚,鈐
kin	見,乾,虔,墘,鰬,掮,揵
king	傾,頃,擎,廎,瓊,驚,鯨,檠,勍,擏,凝,璚,嬛,黥,藑,殑,煢,惸
kip	硤
kit	揭,蠍,詰,契,羯,頡,遏,挈,擷,黠,鍥,朅,劼,孑,奊,謁,堨,嵑,纈,襭,碣,竭,偈,訐,蛣,絜,楬
kiu	橋,僑,喬,竅,巧,翹,矯,皛,嘺,嶠,繑,噭,蕎,礄,區,荍,鷮,趫,躈
ko	高,告,縞,鈳,咎
koi	溉,概,慨,蓋,丐,鈣,欬,鑉,愒,咳,戤,愾
kok	角,確,廓,涸,郭,壑,愨,碻,斠,漷,礐,國,觳,恪,埆,榷,鞹,郝,确,塙,愘,搉
kong	港,亢,伉,炕,曠,礦,壙,擴,邟,匟,夼,犺,狂,懭,鄺,鵟,穬,慷,纊,爌,鏮,抗,絖,鈧,閌
koo	箍
kooi	賄,劊,潰,憒,繪,檜,膾,聵,繢,鄶,獪,澮,襘,旝,鱠,儈
koon	觀,冠,官,盥
koot	括,豁,聒,濊,鴰,髺,栝,适,鬠,筈
ku	箍
kuen	權,卷,拳,踡,蜷,鬈,埢,蠸,巏,婘,齤,惓,顴
kuet	缺,決,抉,鴃,獗,蕨,劂,厥,訣,觼,撅,蒛,闋,觖,瘚,潏,鱖,僪,闕,駃,譎,噘,蹶,蟨,橛,芵,玦,泬,炔,孓,鵙,趹,鐍,钁,鈌
kui	佢,拒,拘,俱,區,嶇,軀,驅,駒,距,句,渠,賄,會,袪,劊,潰,瞿,憒,繪,敺,檜,璩,衢,豦,膾,禬,聵,胊,貙,蟝,繢,胠,臞,佉,鄶,獪,澮,蕖,廥,呿,懅,佝,抾,籧,鴝,鮈,磲,斪,阹,薈,泃,朐,魼,捄,鼩,鐻,鱋,蠷,痀,祛,氍,絇,闠,襘,旝,灈,蘧,鱠,匷,竘,儈,軥,蠼,躣,劬,鋸
kuk	曲,鋦,蛐,蛞
kung	窮,銎,穹,跫,芎,邛,藭,筇,蛩,嗊,笻
kut	括,豁
kwa	誇,垮,跨,胯,侉,姱,骻,夸
kwaa	掛
kwaai	嘳
kwaan	關
kwaang	逛,筐,眶,框
kwaat	刮,颳
kwah	垮,掛,誇,跨,銙,侉,姱,骻,挎,夸,褂,胯
kwai	規,虧,攜,窺,闚,葵,揆,愧,奎,盔,畦,槻,槼,睽,聧,跬,頍,嫢,龜,夔,蹞,嶲,瞡,逵,頯,騤,酅,騩,蠵,犪,巋,頄,馗,驨,觿,鑴,媿,暌,戣
kwan	關,困,群,裙,菌,均,鈞,坤,昆,崑,猑,琨,焜,錕,騉,鯤,囷,捆,梱,悃,睏,稛,碅,綑,箘,齫,髡,貫,矜,閫,麇,捃,宭,峮,攗,鶤,壼,菎,窘
kwang	筐,眶,轟
kwat	刮,颳
kwik	隙
kwing	炅
kwok	郭,廓,彉,擴,鞹,摑
kwong	狂,擴,曠,礦,壙,懭,鄺,穬,纊,爌,絖
kwun	觀
kwung	轟
#
la	啦,喇,剌,罅,拏,鞡,那,砬,哪
laa	乸,揦
laai	拉,舐,落,厲,賴,瀨,藾,癩,籟,𦧺,酹,艿,鼐,褦,孻,釢
laak	勒,嘞,仂,肋,砳
laam	南,腩,覽,灠,攬,艦,襤,藍,籃,檻,纜,欖,濫,蝻,諵,囡,嚂,杬,爁,礛,爦,轞,惏,嵐,婪
laan	懶,戁,爛,欄,攔,斕,瀾,闌,蘭,籣,嬾,灡,讕,躝,糷,襴,鑭
laang	冷,唥
laap	立,垃,𥅈,𩶘,納,臘,蠟,鱲,邋,魶,擸,拉,翋,鑞,衲,砬,腊
laat	辣,邋,瘌,列,剌,鬎,迾
laau	怓,孬,峱,淖,譊,猱
lai	黎,嚟,禮,例,麗,荔,厲,勵,來,拉,犁,癘,籟,醴,蠣,儷,欐,蜧,隸,礪,豊,蠡,澧,迣,捩,蔾,砅,濿,劙,栵,悷,黧,攭,鱧,攦,糲,藜,剺
lak	勒,嘞,扐,鰳,阞,朸,仂,屴,竻,泐,肋
lam	諗,臨,林,淋,冧,𣺉,痳,稟,懍,霖,壈,廩,檁,凜,菻,僋,琳
lan	欄,爛,嬾,蘭,撚,籣,𨶙
lang	𡃁,能
lap	粒,立,笠,凹,苙,鴗,搚
larn	欄,爛,懶,蘭
lat	辣,瘌,甩
lau	留,流,樓,溜,漏,劉,瀏,嬲,摟,琉,陋,遛,瘤,硫,㜢,嘍,縷,嶁,寠,塿,漊,漻,髏,廔,褸,螻,摎,罶,餾,慺,簍,鏤,綹,露,霤,瘺,蔞,窶,狃,瞜,柳,蹓,蟉,耬,艛,斿,懰,杻,鎏,鎦,鷚,鶹,鰡,騮,鏐,榴,鞻,飂,飀,翏,婁,旒,僂,塯,廇
le	咧,哩,褦
lee	李
lei	理,利,離,里,李,梨,履,鋰,俐,浰,琍,莉,脷,痢,吏,璃,蒞,禰,浬,厘,哩,喱,狸,籬,罹,你,妳,您,貍,娌,犛,鈮,魑,霾,蜊,釐,驪,氂,麗,嫠,漦,鯉,邐,蘺,裡,峛,縭,鬁,篱,褵,劙,悝,醨,呢,梩,猁,灕,鵹,藜,孋,漓,筣,詈,剺,鱺,鸝,裏,釃,俚,孷
lek	叻,壢
lem	舐
leng	靚,𡃁,領,嶺,靈,鯪
leuk	掠,略
leung	兩,良,涼,量,糧,亮,諒,倆,梁,娘,輛,粱,樑,莨,孃,裲,魎,踉,緉,倞,輬,俍,悢,茛,喨,啢,椋
li	李,唎,呢
lik	力,扐,曆,歷,攊,匿,暱,靂,溺,爍,叻,躒,鬲,酈,壢,礫,瀝,轢,朸,屴,擽,嚦,藶,厤,轣,衵,秝,皪,櫟,瓅,櫪,磿,惄,搦
lim	廉,簾,斂,帘,濂,奩,瞼,磏,鐮,瀲,殮,臉,舐,澰,歛,薟,鎌,羷,蠊,襝,鯰,鬑,蘞,溓
lin	連,蓮,憐,練,鍊,煉,年,輦,攆,鰱,璉,鏈,摙,嗹,謰,褳,漣,楝,浰,僆,湅
ling	令,另,寧,零,靈,領,拎,擰,檸,齡,玲,菱,凌,淩,楞,蔆,鈴,聆,翎,羚,陵,蛉,泠,嶺,櫺,鴒,伶,苓,佞,倰,輘,呤,囹,宁,愣,怜,柃,夌,岭,狑,薐,霝,崚,瓴,聹,酃,堎,綾,醽,笭,蘦,昤,睖,甯,棱,欞,鸋,軨,詅,稜,舲
lip	聶,𨋢,獵,躐,臘,鬣,苶,臲,儠,擸,犣,顳,隉
lit	列,烈,裂,咧,洌,結,趔,冽,綟,迣,捩,颲,鴷,鮤,茢,迾,纈,蛚
liu	了,料,聊,鳥,尿,廖,療,寥,撩,遼,潦,寮,暸,嘹,僚,撂,嵺,繚,漻,敹,憭,瞭,膋,撂,獠,憀,嶚,鄝,嚕,嫽,蓼,蔦,蟟,簝,豂,溜,橑,膫,尥,嬲,煉,釕,鷯,鐐,飉,飂,翏,燎,嫋
lo	老,佬,路,露,撈,勞,盧,驢,虜,鹵,姥,魯,潦,嘮,擄,顱,僚,酪,癆,漊,臚,銠,蘆,嶗,鑪,鷺,鱸,獠,廬,爐,嫪,僗,嚕,櫓,澇,輅,瀘,纑,罏,牢,蓾,蟧,謱,簩,磠,潞,橑,艫,賂,恅,狫,蕗,璐,孥,嚧,壚,醪,栳,蠦,滷,簬,氌,艣,鐪,轤,浶,玈,砮,籚,鐒,櫨,轑,荖,鸕
loh	羅,囉,攞,鑼,欏,螺,裸,蘿,籮,蓏,儸,邏,玀,旯,瘰,挼,儺,蠃,腡
loi	來,萊,誄,賚,錼,錸,郲,氝,柰,騋,耒,鶆,淶,崍,徠,棶,睞
lok	樂,落,絡,諾,咯,洛,珞,躒,酪,駱,濼,烙,硌,犖,胳,雒
long	朗,郎,𢲲,浪,狼,榔,莨,晾,螂,琅,瑯,蒗,踉,閬,鋃,悢,埌,崀,茛,桹,烺,囔,攮,啷,蜋,筤,硠,塱,稂,齉,廊
lor	囉,咯,籮,羅,鑼,欏,騾,螺,摞,蓏,儸,邏,蘿,玀,旯,瘰,鸁,臝,覶,砢,蠃,裸,腡,卵
luen	聯,亂,戀,恋,孿,攣,鑾,欒,鸞,灤,巒,羉,孌,臠,癵,圞
luet	劣,捋,哷,埒,脟,鋝,酹
lui	女,裡,類,裏,屢,旅,慮,濾,淚,唳,累,驢,雷,擂,櫐,磊,呂,侶,鋁,閭,履,嫘,縲,蕾,縷,騾,羸,褸,樏,畾,鐳,誄,鏍,氀,櫚,壘,儡,轠,儽,謱,癗,礌,捩,磥,勴,儢,沴,檑,蘲,膂,戾,耒,蘱,礧,穭,禷,漯,蠝,惀,纇,梠,罍,纍,鑢,藘,櫑,藟,灅,欙,盭,郘,鸓,虆,絫,釹
luk	六,陸,綠,錄,碌,轆,鹿,戮,淥,氯,麓,摝,漉,蓼,踛,醁,磟,錴,坴,簏,僇,彔,朒,騄,衄,鯥,籙,穋,祿,稑,盝,睩,觻,琭,逯,菉,甪
lun	倫,淪,論,輪,卵,鄰,麟,紊,吝,崙,掄,藺,粼,轔,嶙,磷,躪,鱗,蜦,潾,橉,膦,遴,閵,疄,瞵,燐,圇,鏻,蹸,綸,侖,菕,驎,璘
